gov_name,state,pop_tot,rev_fines,rev_prop_tax,rev_tot,rev_gen_ownsource
EVERGREEN PARK VILLAGE,IL,19849,2130090,7577970,37987530.00000001,20239740
FOREST PARK VILLAGE,IL,14137,1770450,9252960.000000002,30758100.000000004,17817720
HILLSIDE VILLAGE,IL,8165,1795980.0000000002,15664320.000000002,30669300.000000004,21119970
HOMEWOOD VILLAGE,IL,19280,1964700.0000000002,7484730.000000001,28978770.000000004,14972790
OLYMPIA FIELDS VILLAGE,IL,4888,782550.0000000001,2817180.0000000005,11315340,7322670.000000001
ROSEMONT VILLAGE,IL,4715,1339770.0000000002,44151360,130553760.00000001,123383160.00000001
SOUTH HOLLAND VILLAGE,IL,22040,2324340,16608930,40109850.00000001,29360610.000000004
STICKNEY VILLAGE,IL,6778,769230,3489840,12373170.000000002,6684420.000000001
STONE PARK VILLAGE,IL,4936,1050060.0000000002,2823840,7925400.000000001,5557770
WILLOW SPRINGS VILLAGE,IL,5677,1759350.0000000002,3589740.0000000005,10316340,8459310.000000002
OAKBROOK TERRACE CITY,IL,2453,402930.00000000006,991230.0000000001,10650450,7515810
BANNOCKBURN VILLAGE,IL,1308,168720.00000000003,1105560.0000000002,5283600,3033630
PARK CITY CITY,IL,7402,411810.00000000006,118770.00000000001,4479960,1519590.0000000002
FOX RIVER GROVE VILLAGE,IL,4822,1055610.0000000002,1708290.0000000002,7768890,4979460
MCCULLOM LAKE VILLAGE,IL,1011,145410.00000000003,190920.00000000003,1371960,1197690
BULL VALLEY VILLAGE,IL,1213,140970,428460.00000000006,848040.0000000001,735930.0000000001
CHENOA CITY,IL,1840,154290.00000000003,315240,1862580.0000000002,749250.0000000001
FAIRMONT CITY VILLAGE,IL,2349,339660,84360.00000000001,3961590,2917080.0000000005
JEROME VILLAGE,IL,1662,41070,39960,1514040.0000000002,137640.00000000003
COBDEN VILLAGE,IL,1359,128760.00000000001,48840,1116660,380730
TILTON VILLAGE,IL,2639,409590.00000000006,407370.00000000006,3979350.0000000005,1539570.0000000002
WESTVILLE VILLAGE,IL,3303,72150,0,2718390.0000000005,217560.00000000003
ELWOOD VILLAGE,IL,2144,417360,9930060.000000002,18276150,15414570.000000002
